,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
2084,80519 - פונקציות מרוכבות - תשף - תרג א,2019,Semester 1,2019-20 -> 80519 COMPLEX VARIABLES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c12638bd-86b4-481b-83cb-aade00b3eb79%22
2095,80519 - פונקציות מרוכבות - תשף - שעור א,2019,Semester 1,2019-20 -> 80519 COMPLEX VARIABLES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c12638bd-86b4-481b-83cb-aade00b3eb79%22
2108,80519  - פונקציות מרוכבות  - תשעט,2018,Semester 1,2018-19 -> 80519 COMPLEX VARIABLES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220c1478f4-5b29-42bc-b396-abe400c013a4%22
2135,80519  - פונקציות מרוכבות  - תשעח,2017,Semester 1,,
2163,80519  - פונקציות מרוכבות  - תשעז,2016,Semester 1,,
2164,80519  - פונקציות מרוכבות  - תשעו,2015,Semester 1,,
2203,80519 פונקציות מרוכבות - תשעה,2014,Semester 1,,
2206,69601 - כימיה פיסיקלית ג - תשף - תרג א,2019,Semester 1,2019-20 -> 69601 PHYSICAL CHEMISTRY C,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2257f18881-85da-4355-96c8-aadf008fe6ab%22
2216,69601 - כימיה פיסיקלית ג - תשף - שעור א,2019,Semester 1,2019-20 -> 69601 PHYSICAL CHEMISTRY C,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2257f18881-85da-4355-96c8-aadf008fe6ab%22
2245,69601 - כימיה פיסיקלית ג - תשעט,2018,Semester 1,2018-19 -> 69601 PHYSICAL CHEMISTRY C,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f59180fe-4837-4b0b-8f43-abe400b47758%22
2294,69601 - כימיה פיסיקלית ג - תשעח,2017,Semester 1,,
2340,69601 - כימיה פיסיקלית ג - תשעז,2015,Semester Summer,,
2377,71012 יסודות הגנטיקה תשף תירגול,2019,Semester 1,2019-20 -> 71012 FUNDAMENTAL GENETICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22cf7d6bda-d883-4f0f-ba94-aadf008978d0%22
2379,71012 - יסודות הגנטיקה - תשף - שעור א,2019,Semester 1,2019-20 -> 71012 FUNDAMENTAL GENETICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22cf7d6bda-d883-4f0f-ba94-aadf008978d0%22
2411,71012 יסודות הגנטיקה תשעט,2018,Semester 1,2018-19 -> 71012 FUNDAMENTAL GENETICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225e4a222d-567f-4c38-bfb9-abe400b5b9c8%22
2438,יסודות הגנטיקה תשעח 71012,2017,Semester 1,,
2481,71012 יסודות הגנטיקה תשעז ,2016,Semester 1,,
2507,80131 - חשבון אינפיניטסימלי 1 - תשף - תרג ב,2019,Semester 1,2019-20 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fdddc03b-5f91-482b-9742-aade00b0fa6a%22
2518,80131 - חשבון אינפיניטסימלי 1 - תשף - שעור ג,2019,Semester 1,2019-20 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fdddc03b-5f91-482b-9742-aade00b0fa6a%22
2558,80131 - חשבון אינפיניטסימלי 1 - תשף - שעור ב,2019,Semester 1,2019-20 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fdddc03b-5f91-482b-9742-aade00b0fa6a%22
2570,80131 - חשבון אינפיניטסימלי 1 - תשף - שעור א,2019,Semester 1,2019-20 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fdddc03b-5f91-482b-9742-aade00b0fa6a%22
2582,80131 - חשבון אינפיניטסימלי 1 - תשף - תרג ג,2019,Semester 1,2019-20 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fdddc03b-5f91-482b-9742-aade00b0fa6a%22
2587,80131/8014 - מכינה תשפ,2018,Semester Summer,,
2607,80131/80134 - מכינה תשעח,2016,Semester Summer,,
2625,80131/80134 - מכינה תשעט,2018,Semester 1,2018-19 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c3366968-2304-417c-a175-abe400bf8b32%22
2631,80131 - חשבון אינפיניטסימלי - שיעור ותר  ג - תשעט,2018,Semester 1,2018-19 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c3366968-2304-417c-a175-abe400bf8b32%22
2683,80131 - חשבון אינפיניטסימלי - תשעט,2018,Semester 1,2018-19 -> 80131-1 INFINITESIMAL CALCULUS (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c3366968-2304-417c-a175-abe400bf8b32%22
2757,חשבון אינפיניטסימלי 1 - 80131 - תשעט,2018,Semester 2,2018-19 -> 80131-2 INFINITESIMAL CALCULUS (1) - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2282cd887d-0b93-46cb-ad04-abe400bf8f02%22
2796,80131 - חשבון אינפיניטסימלי - תשעח - סמסטר ב,2017,Semester 2,,
2810,80131 - חשבון אינפיניטסימלי - תשעח,2017,Semester 1,,
2879,80131 - חשבון אינפיניטסימלי - תשעז,2015,Semester Summer,,
2941,80131/80134 - מכינה תשעז,2015,Semester Summer,,
2957,80131 - חשבון אינפיניטסימלי - תשעו,2015,Semester 1,,
2966,80131/80134 - מכינה תשעו,2015,Semester 1,,
2968,65217 מבוא לפיסיכולוגייה - תשף,2019,Semester 1,2019-20 -> 65217 INTRODUCTION TO PSYCHOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22dca9db94-fa63-404b-85b8-aadf0089ee32%22
2969,80135 -אלגברה ליניארית - תשף - תרגול י,2019,Semester 1,2019-20 -> 80135-1 LINEAR ALGEBRA (2) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22cac65e30-1704-482e-8ae4-aadf00adc324%22
2981,80135 - אלגברה ליניארית 2 - תשף - שעור ג,2019,Semester 1,2019-20 -> 80135-1 LINEAR ALGEBRA (2) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22cac65e30-1704-482e-8ae4-aadf00adc324%22
3007,80135 - איתמר - אלגברה ליניארית - תשעז,2016,Semester 1,,
3069,אלגברה ליניארית 2 - 80135 - תשעט,2018,Semester 2,2018-19 -> 80135-2 LINEAR ALGEBRA (2) - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222042040a-dd8b-4eac-8291-abe400bfa800%22
3130,אלגברה ליניארית - שיעור ערן נבו - 80135 - תשעט,2018,Semester 2,2018-19 -> 80135-2 LINEAR ALGEBRA (2) - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222042040a-dd8b-4eac-8291-abe400bfa800%22
3158,80135 - אלגברה ליניארית - תשעט,2018,Semester 1,2018-19 -> 80135-1 LINEAR ALGEBRA (2) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c62984f5-d58a-46c2-b5ce-abe400bfa4f2%22
3217,80135 - אלגברה ליניארית - תשעח,2017,Semester 2,,
3259,80135 - אלגברה ליניארית - תרגול - תשעז,2016,Semester 2,,
3269,80135 - אלגברה ליניארית - קלואי - תשעז,2016,Semester 2,,
3311,80135 אלגברה ליניארית - איתמר - תשעו,2015,Semester 2,,
3362,80135 אלגברה ליניארית - קלואי - תשעו,2015,Semester 2,,
3413,77307 - פיסיקה סטטיסטית - תשף - תרגול ,2019,Semester 1,2019-20 -> 77307 Intro. to Statistical Physics,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22acf0d953-5028-4522-adb4-aadf00943a58%22
3423,77909 - יחסות וגרביטציה - תשף - תרגול,2019,Semester 1,2019-20 -> 77909 Relativity and Gravitation,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224d2a3e2a-dc7f-490b-bdfe-aadf00952fb4%22
3434,77909 - יחסות וגרביטציה - תשף - שעור א,2019,Semester 1,2019-20 -> 77909 Relativity and Gravitation,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224d2a3e2a-dc7f-490b-bdfe-aadf00952fb4%22
3460,77909 - יחסות וגרביטציה - תשעט,2018,Semester 1,2018-19 -> 77909 Relativity and Gravitation,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225b1ac06e-dc91-4e80-83cb-abe400beec39%22
3488,71024 כימייה פיזיקלית תשף,2019,Semester 1,2019-20 -> 71024 PHYSICAL CHEMISTRY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22ff9350fd-0432-4658-8d9a-aadf0089b637%22
3490,67594 - מבוא לרשתות תקשורת - תשף - תרגול ב,2019,Semester 1,2019-20 -> 67594 INTRODUCTION TO COMMUNICATION NETWORKS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226bd29e02-5b0a-4a06-b095-aadf008dbad8%22
3503,67594 - מבוא לרשתות תקשורת - תשף - תרגול א,2019,Semester 1,2019-20 -> 67594 INTRODUCTION TO COMMUNICATION NETWORKS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226bd29e02-5b0a-4a06-b095-aadf008dbad8%22
3520,67594 - מבוא לרשתות תקשורת - תשעט,2018,Semester 1,2018-19 -> 67594 INTRODUCTION TO COMMUNICATION NETWORKS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224df6e3d5-8f94-42a5-ab0c-abe400b2f896%22
3563,67594 - מבוא לרשתות תקשורת - תשעח,2017,Semester 1,,
3573,67594 - מבוא לרשתות תקשורת - תשעז,2016,Semester 1,,
3586,67506 - מסדי נתונים - תשף - תרגול א,2019,Semester 1,2019-20 -> 67506 DATABASES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221f8c250f-59c0-4a80-b279-aacd00d0e96c%22
3598,67506 - מסדי נתונים - תשף - שעור א,2019,Semester 1,2019-20 -> 67506 DATABASES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221f8c250f-59c0-4a80-b279-aacd00d0e96c%22
3611,67506 - מסדי נתונים - תשעח,2017,Semester 1,,
3625,67506 - מסדי נתונים - תשעז,2015,Semester Summer,,
3637,67506 - מסדי נתונים - תשעו,2015,Semester 1,,
3643,70333 - מיפוי בסיסי - תשף - שיעור,2019,Semester 1,2019-20 -> 70333 basic geological mapping,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%228a7f2101-9145-4d42-b132-aadf0088cae8%22
3657,65716  תשף אמבריולוגייה וטרינרית,2019,Semester 1,2019-20 -> 65716 VETERINARY EMBRYOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%227343c22b-5121-459e-af04-aadf008ae163%22
3666,80109 - מתמטיקה לתלמידי כימיה וכדהא 1 - תשף - שעור א,2019,Semester 1,2019-20 -> 80109 MATHEMATICS FOR CHEMISTRY STUDENTS 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%223bc43ddd-4583-4af0-974d-aadf00ad62b5%22
3688,80109 - מתמטיקה לתלמידי כימיה וכדהא  - תשעט,2018,Semester 1,2018-19 -> 80109 MATHEMATICS FOR CHEMISTRY STUDENTS 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2294128fda-7e69-4ad6-b50f-abe400bf749c%22
3709,80109 - מתמטיקה לתלמידי כימיה וכדהא  - תשעו,2014,Semester Summer,,
3723,77141 - מכניקה וזורמים לתלמידי רפואה ורפוש - תשף,2019,Semester 1,2019-20 -> 77141 Mechanics for Med. students,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2265bf6001-3c8d-4e2d-80f9-aadf0094047e%22
3730,77141 - מבוא לפיסיולוגיה - תשעט,2018,Semester 1,2018-19 -> 77141 Mechanics for Med. students,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2269f21602-baed-46f1-bfc3-abe400be0dbd%22
3740,77141 - מכניקה וזורמים לתלמידי רפואה ורפוש - תשעז,2015,Semester Summer,,
3758,78000- טכנולוגיית מידע קוונטית - תשף,2019,Semester 1,2019-20 -> 78000 Introduction to Quantum Metrology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22b7fed25c-6005-4066-941c-ab3c0097a313%22
3766,69807 - מצב מוצק בכימיה - תשף - שיעור,2019,Semester 1,2019-20 -> 69807 SOLID STATE IN CHEMISTRY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226c6d613e-c0eb-4700-b69c-aadf009041b9%22
3779,69301 - כימיה פיסיקלית ב - תרמודינמיקה א - תשף - תרג א,2019,Semester 1,2019-20 -> 69301 PHYSICAL CHEMISTRY  B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2250755b46-9790-48bd-ba9a-aadf008f981c%22
3794,69301 - כימיה פיסיקלית ב - תרמודינמיקה א - תשף - שעור א,2019,Semester 1,2019-20 -> 69301 PHYSICAL CHEMISTRY  B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2250755b46-9790-48bd-ba9a-aadf008f981c%22
3831,69301 - כימיה פיסיקלית ב - תרמודינמיקה א - תשעט,2018,Semester 1,2018-19 -> 69301 PHYSICAL CHEMISTRY  B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22ecdd4e2b-6e76-45d0-81ca-abe400b4458f%22
3870,69301 - כימיה פיסיקלית ב - תרמודינמיקה א - תשעז,2016,Semester 1,,
3872, 72120- תשפ ביוכימיה של התא תשף- תרגול ב,2019,Semester 1,2019-20 -> 72120 BIOCHEMISTRY OF THE CELL,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222770fc17-5868-421b-9d43-aadf008f223d%22
3885,72120 - ביוכימיה של התא - תשף - שעור א,2019,Semester 1,2019-20 -> 72120 BIOCHEMISTRY OF THE CELL,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222770fc17-5868-421b-9d43-aadf008f223d%22
3914,72120 - ביוכימיה של התא - תשעט,2018,Semester 1,2018-19 -> 72120 BIOCHEMISTRY OF THE CELL,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2235a155fb-1c9d-4477-92f5-abe400ba43e1%22
3961,72120 - ביוכימיה של התא - תשעח,2017,Semester 1,,
3984,80134 -  אלגברה ליניארית - תשף - שעור ג ,2019,Semester 1,2019-20 -> 80134-1 LINEAR ALGEBRA (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8e93a7c-6954-43d1-9378-aadf006cacb2%22
4008,80134 - אלגברה ליניארית 1 - תשף - תרג ח,2019,Semester 1,2019-20 -> 80134-1 LINEAR ALGEBRA (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8e93a7c-6954-43d1-9378-aadf006cacb2%22
4023,80134 - אלגברה ליניארית 1 - תשף - שעור ב,2019,Semester 1,2019-20 -> 80134-1 LINEAR ALGEBRA (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8e93a7c-6954-43d1-9378-aadf006cacb2%22
4054,80134 - אלגברה ליניארית 1 - תשף - תרג ה,2019,Semester 1,2019-20 -> 80134-1 LINEAR ALGEBRA (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8e93a7c-6954-43d1-9378-aadf006cacb2%22
4069,אלגברה ליניארית - תשעט - 80134,2018,Semester 2,2018-19 -> 80134-2 LINEAR ALGEBRA (1) - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222489f157-0c38-462b-b301-abe400bfa1c8%22
4107,80134 - אלגברה ליניארית - תשעט,2018,Semester 1,2018-19 -> 80134-1 LINEAR ALGEBRA (1) - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225cbd5a36-afdb-4dbe-a488-abe400bf9ea2%22
4179,80134 - צליל - אלגברה ליניארית - תשעח,2017,Semester 1,,
4226,80134 - איתמר - אלגברה ליניארית - תשעח,2017,Semester 1,,
4283,80134 איתמר - אלגברה ליניארית - תשעז - איתמר,2016,Semester 1,,
4294,80134 - אלגברה ליניארית - תשעז,2016,Semester 1,,
4320,80134 - איתמר - אלגברה ליניארית - תשעו,2015,Semester 1,,
4368,80134 - איליה - אלגברה ליניארית - תשעו,2014,Semester Summer,,
4376,80134 אלגברה ליניארית - תשעה איתמר,2014,Semester 1,,
4424,72920 - ביוסטטיסטיקה מתקדמת - תשף - תרג א,2019,Semester 1,2019-20 -> 72920 Advanced Biostatistics,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22b87572b7-e81e-4563-9159-aadf0090306f%22
4435,72920 - ביוסטטיסטיקה מתקדמת - תשף - שעור א,2019,Semester 1,2019-20 -> 72920 Advanced Biostatistics,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22b87572b7-e81e-4563-9159-aadf0090306f%22
4447,ביוסטטיסטיקה מתקדמת - תשעט - 72920,2018,Semester 1,2018-19 -> 72920 Advanced Biostatistics,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f8076c47-1e2d-48c6-a67b-abe400bb0cc6%22
4474,ביוסטטיסטיקה מתקדמת - תשעח - 72920,2017,Semester 2,,
4494,6132 - שיטות מחקר בקוגניציה - תשף - שעור א,2019,Semester 1,2019-20 -> 6132 RESEARCH METHODS IN COGNITION,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fbb4cb20-7243-4164-aceb-aadf0081bc43%22
4506,שיטות מחקר בקוגניציה - תשעט - 6132,2018,Semester 2,2018-19 -> 6132 RESEARCH METHODS IN COGNITION,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a486e093-b55b-479e-8d30-abe400a55573%22
4518,6132 - שיטות מחקר בקוגניציה - תשעח,2017,Semester 2,,
4538,77501 - אסטרופיסיקה וקוסמולוגיה - תשף,2019,Semester 1,2019-20 -> 77501 Astrophysics and Cosmology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%223d2bad57-7fb5-4881-8789-aadf009481b3%22
4565,77501 - אסטרופיסיקה וקוסמולוגיה - תשעח,2017,Semester 1,,
4567,77501 - אסטרופיסיקה וקוסמולוגיה - תשעז,2016,Semester 1,,
4583,65216 כשרות ושבת - תשף,2019,Semester 1,2019-20 -> 65216 KASHRUT AND THE SABBATH,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22085d88d4-4a57-488a-a118-aadf0089ea94%22
4597,65216 כשרות ושבת תשעט,2018,Semester 1,2018-19 -> 65216 KASHRUT AND THE SABBATH,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22db68299a-85f0-4ee3-b28b-abe400b01be1%22
4610,67658 - עיבוד שפה טבעית - תשף - תרג א,2019,Semester 1,2019-20 -> 67658 NATURAL LANGUAGE PROCESSING,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d93840f8-6a3f-4a8f-99f0-aadf008e083d%22
4622,67658 - עיבוד שפה טבעית - תשף - שעור א,2019,Semester 1,2019-20 -> 67658 NATURAL LANGUAGE PROCESSING,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d93840f8-6a3f-4a8f-99f0-aadf008e083d%22
4635,67125- מבוא לתכנות מונחה עצמים - תשף ,2019,Semester 1,2019-20 -> 67125 INTRODUCTION TO OBJECT ORIENTED,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2297c1e2a1-c8ce-42a8-bb09-aadf008d0bb3%22
4650,מבוא לתכנות מונחה עצמים - תשעט - 67125,2018,Semester 2,2018-19 -> 67125 INTRODUCTION TO OBJECT ORIENTED,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8d66d8f-2f7e-4063-b64f-abe400b26b31%22
4687,67125 - מבוא לתכנות מונחה עצמים - תשעח,2017,Semester 2,,
4700,67125 מבוא לתכנות מונחה עצמים - תשעז,2016,Semester 2,,
4730,67125 מבוא לתכנות מונחה עצמים - תשעו,2015,Semester 2,,
4734,72107 מבוא לאקולוגיה ולביולוגיה של אוכלוסיות - תשפ,2019,Semester 1,2019-20 -> 72107 Introduction to Ecology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226e2b3de3-bfec-4ef6-8cd4-aadf008f17e3%22
4760,72107 - מבוא לאקולוגיה ולביולוגיה של אוכלוסיות - תשעט,2018,Semester 1,2018-19 -> 72107 Introduction to Ecology and Population Biology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c2b14c1a-a320-44fc-80c3-abe400ba3ddd%22
4788,72107 - מבוא לאקולוגיה ולביולוגיה של אוכלוסיות - תשעח,2017,Semester 1,,
4802,72107 - מבוא לאקולוגיה ולביולוגיה של אוכלוסיות - תשעז,2016,Semester 1,,
4813,72107 - מבוא לאקולוגיה ולביולוגיה של אוכלוסיות - תשעו,2015,Semester 1,,
4818,56108 מבוא היסטורי תשפ,2019,Semester 1,2019-20 -> 56108 Historical introduction to Contemporary Politics,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e7700d20-2039-4380-a5b8-aadf008bef74%22
4819,56108 פוליטיקה עח-2,2017,Semester 2,,
4830,56108 היסטוריה פולטית עח,2017,Semester 1,,
4831,56108 מבוא הסטורי פולי  עז,2016,Semester 1,,
4832,3802 חשיבה מד תשפ,2019,Semester 1,2019-20 -> 38023 Arabic Texts for Beginners,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%228bb295f1-b50f-402e-854f-aadf007891fa%22
4833,51101מבוא פסיכולוגיה עט,2018,Semester 1,2018-19 -> 51101 Introduction to Psychology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2299d4de37-5c2e-4db9-bfea-abe40096704e%22
4845,51101 מבוא לפסיכו תשעח,2017,Semester 1,,
4854,51201 תהליכים חברת תשפ,2019,Semester 1,2019-20 -> 51201 Social Psychology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2233b5d6cc-8c45-4141-bb81-aadf008137be%22
4855,57340 סטטיס תשפ,2019,Semester 1,2019-20 -> 57340 Statistics  for Economists A,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2267d2d6ad-6ada-49bc-b32c-aadf008d4059%22
4911,52112 חשבון דיפ תשפ,2019,Semester 1,2019-20 -> 52112 CALCULUS FOR STATISTICIANS A,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2227cd2703-c4cf-4c62-8721-aadf0083484a%22
4936,53101 מבוא לסוציו תשפ,2019,Semester 1,2019-20 -> 53101 Introduction to Sociology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d4250583-99e3-40cd-8fde-aadf0084492e%22
4984,53101מבוא לסוציו עט,2018,Semester 1,2018-19 -> 53101 Introduction to Sociology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224eead56f-447b-440a-a5d7-abe40098ff9d%22
5001,53101 סוציולוגיה מבוא עח,2017,Semester 1,,
5004,52755 שיטות סטטי תשפ,2019,Semester 1,2019-20 -> 52755 BIOSTATISTICAL METHODS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220f52d83d-bb94-4bff-9320-aadf0083cb65%22
5007,40422 גישות למדיניות תשפ,2019,Semester 1,2019-20 -> 40422 Different approaches to environmental policies,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22af59c949-2622-4e6a-92ec-aadf00783536%22
5039,40422 גישות סביבה תשעח,2017,Semester 1,,
5060,40422 גישות סביבתיות  עט,2018,Semester 1,2018-19 -> 40422 Different approaches to environmental policies,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224f8c0d7a-c2bb-43b8-80dd-abe200d38eeb%22
5087,40422 גישות למדיניות סא עז,2016,Semester 1,,
5101,58131 מחשבה פוליטית תשפ,2019,Semester 1,2019-20 -> 58131 INTERNATIONAL POLITICAL THOUGHT,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2292e9dfad-2dff-4acc-a838-aadf008e7ea0%22
5102,52411 מבני נתונים תשפ,2019,Semester 1,2019-20 -> 52411 Data structures and algorithms,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a944e1c7-fa15-4179-984b-aadf0083a07e%22
5108,80133 - חשבון אינפיניטסימלי 2 - תשף - תרג ז,2019,Semester 1,2019-20 -> 80133-1 Infinitesimal  Calculus (2) for Computer Science Students - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a6391f5c-06a4-4ade-b7ba-aadf00ada48c%22
5121,חשבון אינפיניטסימלי 2 לתלמידי מדעי המחשב - 80133 - תשעט,2018,Semester 2,2018-19 -> 80133 Infinitesimal  Calculus (2) for Computer Science Students,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225ac394bf-8a9f-4384-9f0e-abe400bf9b98%22
5191,80133 חשבון אינפיניטסימלי 2  מדעי המחשב - תשעח,2017,Semester 2,,
5229,80133 חשבון אינפיניטסימלי 2  מדעי המחשב - תרגול - תשעז,2016,Semester 2,,
5237,80133 חשבון אינפיניטסימלי 2  מדעי המחשב - תשעז,2016,Semester 2,,
5308,80133 חשבון אינפיניטסימלי 2  מדעי המחשב - תשעו,2015,Semester 2,,
5376,77101 - מכניקה ויחסות פרטית - תשף - תרג ד,2019,Semester 1,2019-20 -> 77101 Mechanics and Special relativity,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e5ffed8a-56af-4328-95ee-aadf0093d3e9%22
5389,77101 - מכניקה ויחסות פרטית - תשף - שעור א,2019,Semester 1,2019-20 -> 77101 Mechanics and Special relativity,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e5ffed8a-56af-4328-95ee-aadf0093d3e9%22
